iter	Passed	Remaining
0	64	128228
1	75	75439
2	86	57854
3	99	49537
4	113	45108
5	128	42759
6	139	39722
7	152	37899
8	166	36895
9	178	35591
10	192	34889
11	205	34068
12	216	33164
13	229	32624
14	244	32360
15	256	31828
16	267	31240
17	279	30793
18	291	30426
19	304	30147
20	316	29866
21	329	29623
22	342	29454
23	354	29167
24	367	29032
25	379	28804
26	391	28605
27	403	28415
28	415	28249
29	427	28073
30	439	27921
31	450	27734
32	462	27557
33	475	27484
34	486	27322
35	499	27248
36	510	27070
37	521	26922
38	534	26864
39	548	26878
40	561	26816
41	574	26774
42	587	26718
43	600	26717
44	614	26710
45	628	26676
46	640	26595
47	654	26602
48	667	26593
49	680	26524
50	694	26522
51	709	26571
52	721	26508
53	733	26428
54	746	26399
55	758	26332
56	769	26244
57	783	26239
58	796	26188
59	808	26137
60	820	26096
61	835	26104
62	847	26056
63	859	25994
64	872	25978
65	884	25924
66	900	25993
67	912	25934
68	926	25923
69	939	25891
70	953	25902
71	965	25858
72	977	25803
73	988	25735
74	1002	25726
75	1016	25734
76	1028	25682
77	1040	25641
78	1052	25582
79	1065	25581
80	1080	25600
81	1092	25557
82	1104	25503
83	1116	25462
84	1131	25501
85	1144	25462
86	1156	25439
87	1168	25395
88	1181	25365
89	1194	25360
90	1207	25326
91	1220	25303
92	1231	25255
93	1245	25246
94	1257	25213
95	1270	25195
96	1282	25168
97	1296	25170
98	1313	25223
99	1326	25202
100	1339	25183
101	1351	25143
102	1362	25093
103	1377	25117
104	1390	25086
105	1403	25075
106	1416	25051
107	1430	25060
108	1443	25035
109	1456	25029
110	1468	24998
111	1480	24960
112	1494	24953
113	1506	24922
114	1518	24894
115	1532	24893
116	1546	24889
117	1559	24879
118	1572	24852
119	1583	24814
120	1595	24781
121	1609	24771
122	1621	24745
123	1634	24734
124	1647	24715
125	1661	24710
126	1674	24698
127	1686	24667
128	1699	24653
129	1711	24617
130	1724	24609
131	1739	24613
132	1753	24618
133	1766	24598
134	1781	24614
135	1795	24603
136	1808	24586
137	1821	24574
138	1835	24569
139	1848	24552
140	1861	24540
141	1873	24518
142	1886	24503
143	1901	24510
144	1914	24493
145	1928	24485
146	1941	24471
147	1954	24461
148	1968	24453
149	1982	24454
150	1996	24442
151	2009	24433
152	2021	24409
153	2033	24381
154	2046	24356
155	2058	24327
156	2071	24320
157	2087	24331
158	2099	24314
159	2112	24292
160	2124	24263
161	2139	24270
162	2153	24273
163	2167	24269
164	2180	24252
165	2194	24250
166	2208	24243
167	2220	24217
168	2233	24198
169	2246	24183
170	2262	24200
171	2275	24184
172	2287	24159
173	2301	24147
174	2315	24147
175	2327	24125
176	2340	24104
177	2352	24079
178	2366	24076
179	2381	24080
180	2395	24070
181	2408	24054
182	2423	24059
183	2437	24058
184	2450	24045
185	2464	24035
186	2476	24008
187	2491	24012
188	2505	24003
189	2521	24016
190	2535	24013
191	2549	24006
192	2563	23997
193	2576	23985
194	2591	23987
195	2604	23968
196	2617	23956
197	2634	23972
198	2646	23955
199	2659	23933
200	2671	23910
201	2684	23894
202	2698	23885
203	2711	23871
204	2724	23853
205	2739	23854
206	2753	23852
207	2766	23832
208	2781	23831
209	2795	23828
210	2808	23809
211	2822	23800
212	2835	23792
213	2850	23790
214	2867	23802
215	2881	23797
216	2894	23785
217	2908	23775
218	2922	23764
219	2935	23746
220	2948	23733
221	2962	23726
222	2976	23721
223	2990	23707
224	3003	23692
225	3016	23680
226	3032	23683
227	3046	23673
228	3058	23649
229	3069	23624
230	3081	23597
231	3096	23593
232	3108	23574
233	3121	23556
234	3137	23562
235	3155	23585
236	3179	23651
237	3195	23659
238	3211	23664
239	3227	23671
240	3240	23648
241	3254	23643
242	3268	23634
243	3282	23620
244	3294	23600
245	3310	23602
246	3326	23605
247	3338	23584
248	3352	23574
249	3364	23549
250	3376	23527
251	3387	23495
252	3399	23473
253	3412	23454
254	3425	23439
255	3439	23431
256	3454	23428
257	3468	23419
258	3481	23405
259	3497	23408
260	3511	23397
261	3526	23392
262	3540	23381
263	3553	23366
264	3569	23371
265	3584	23365
266	3596	23345
267	3610	23334
268	3628	23349
269	3643	23342
270	3655	23322
271	3667	23301
272	3681	23287
273	3694	23272
274	3708	23259
275	3722	23253
276	3735	23236
277	3748	23220
278	3761	23200
279	3773	23178
280	3786	23165
281	3799	23150
282	3811	23123
283	3822	23093
284	3834	23071
285	3847	23057
286	3860	23040
287	3873	23023
288	3884	22999
289	3896	22977
290	3909	22957
291	3920	22933
292	3933	22917
293	3945	22893
294	3957	22874
295	3972	22867
296	3984	22849
297	3997	22829
298	4008	22806
299	4023	22799
300	4037	22786
301	4048	22761
302	4059	22738
303	4072	22722
304	4086	22710
305	4099	22697
306	4111	22674
307	4123	22650
308	4136	22636
309	4149	22623
310	4162	22605
311	4174	22587
312	4186	22565
313	4200	22552
314	4214	22546
315	4227	22528
316	4239	22505
317	4251	22487
318	4265	22478
319	4277	22457
320	4288	22433
321	4300	22411
322	4313	22394
323	4327	22385
324	4339	22366
325	4351	22343
326	4363	22326
327	4378	22321
328	4391	22303
329	4404	22289
330	4416	22267
331	4428	22251
332	4441	22232
333	4454	22217
334	4466	22197
335	4477	22175
336	4489	22153
337	4502	22138
338	4516	22127
339	4527	22106
340	4539	22082
341	4551	22064
342	4564	22048
343	4576	22031
