iter	RMSE
0	66.88484397
1	64.65492843
2	62.51903968
3	60.51103591
4	58.57307331
5	56.81220653
6	55.1410742
7	53.54633103
8	52.05714292
9	50.74189008
10	49.47094614
11	48.22815368
12	47.14802724
13	45.93872049
14	44.96428296
15	44.09307596
16	43.26023081
17	42.43429197
18	41.59300064
19	40.64812078
20	40.00470203
21	39.28697331
22	38.52203439
23	37.82186376
24	37.12378689
25	36.45740556
26	35.9822006
27	35.44790551
28	35.10174478
29	34.62606946
30	34.07345335
31	33.65722908
32	33.28618165
33	32.92453321
34	32.58509351
35	32.24643709
36	31.94667836
37	31.4961458
38	31.28109249
39	31.07555568
40	30.836982
41	30.51369166
42	30.13796252
43	29.79935896
44	29.42732115
45	29.21643249
46	29.02100423
47	28.80603509
48	28.55558849
49	28.27006188
50	28.11935497
51	27.8412962
52	27.62331859
53	27.31345111
54	27.13810857
55	26.94823084
56	26.73984782
57	26.58913264
58	26.45619181
59	26.2768911
60	26.15511971
61	26.07268876
62	25.90449319
63	25.74750417
64	25.6532554
65	25.5034477
66	25.38048389
67	25.12787789
68	24.99248164
69	24.91052569
70	24.76459157
71	24.59693095
72	24.38194943
73	24.19744943
74	24.05786572
75	23.87762462
76	23.65607041
77	23.51650812
78	23.42913533
79	23.36205231
80	23.26992435
81	23.18812587
82	23.085563
83	22.87119482
84	22.78252997
85	22.68730571
86	22.52746064
87	22.39289799
88	22.26278875
89	22.20111578
90	22.03179807
91	21.81864014
92	21.68651149
93	21.5550491
94	21.3255364
95	21.2058739
96	21.07790744
97	20.98417018
98	20.85644906
99	20.73850467
100	20.63546504
101	20.43325717
102	20.33402532
103	20.25980446
104	20.13708224
105	20.0699462
106	20.02082883
107	19.90218258
108	19.81035872
109	19.76677238
110	19.64926674
111	19.54433455
112	19.44340382
113	19.40749495
114	19.29051191
115	19.2023343
116	19.06930996
117	18.9532934
118	18.85832912
119	18.77067616
120	18.66120187
121	18.57195436
122	18.47165366
123	18.40594675
124	18.3376478
125	18.21312295
126	18.14573976
127	18.10110947
128	18.06552944
129	17.97940479
130	17.91515841
131	17.87141026
132	17.80339143
133	17.68297492
134	17.55628679
135	17.48722273
136	17.43045385
137	17.36148747
138	17.22994387
139	17.18117561
140	17.10684134
141	17.09004623
142	17.01233324
143	16.91471926
144	16.80370739
145	16.73915378
146	16.63271174
147	16.58202205
148	16.53760483
149	16.41111042
150	16.35311006
151	16.27527419
152	16.23800097
153	16.1441265
154	16.11943447
155	16.07768355
156	15.95400817
157	15.88133604
158	15.8571121
159	15.80714305
160	15.74338412
161	15.70695941
162	15.58785176
163	15.5437032
164	15.49293661
165	15.45320088
166	15.37403433
167	15.30339822
168	15.24318491
169	15.2151617
170	15.11805556
171	15.09110637
172	15.00349626
173	14.95969949
174	14.90711485
175	14.86678397
176	14.79588864
177	14.75146509
178	14.6985185
179	14.67522418
180	14.62887281
181	14.57440146
182	14.51968835
183	14.48242917
184	14.45616511
185	14.42602954
186	14.37125536
187	14.28819922
188	14.23126425
189	14.1441551
190	14.11898217
191	14.0682611
192	14.03552586
193	13.99245555
194	13.90423663
195	13.78288554
196	13.74530133
197	13.68683462
198	13.63819244
199	13.58840849
200	13.54810559
201	13.50481089
202	13.44928645
203	13.38620777
204	13.28669244
205	13.1936735
206	13.1496293
207	13.10678016
208	13.05649652
209	12.99585012
210	12.92378184
211	12.87262446
212	12.83314124
213	12.74888271
214	12.68102175
215	12.62552263
216	12.58256678
217	12.56084099
218	12.52960403
219	12.46189132
220	12.36672798
221	12.33150912
222	12.21574942
223	12.17989007
224	12.12704652
