iter	Passed	Remaining
0	66	66762
1	78	39266
2	90	30030
3	102	25565
4	113	22610
5	127	21092
6	139	19758
7	151	18740
8	162	17856
9	173	17132
10	186	16789
11	198	16343
12	211	16050
13	223	15754
14	235	15461
15	248	15260
16	259	15022
17	270	14771
18	282	14571
19	294	14443
20	306	14309
21	319	14194
22	329	14002
23	341	13872
24	351	13690
25	365	13678
26	380	13712
27	393	13643
28	404	13554
29	415	13445
30	427	13356
31	438	13266
32	449	13162
33	460	13069
34	472	13022
35	486	13039
36	498	12966
37	509	12888
38	519	12806
39	529	12715
40	541	12674
41	553	12630
42	565	12596
43	577	12554
44	590	12527
45	601	12478
46	638	12939
47	656	13024
48	673	13071
49	688	13073
50	701	13054
51	713	13015
52	726	12986
53	740	12966
54	754	12960
55	766	12928
56	781	12924
57	796	12930
58	812	12962
59	827	12958
60	840	12942
61	857	12974
62	871	12965
63	886	12964
64	900	12946
65	913	12929
66	928	12927
67	941	12901
68	953	12864
69	970	12887
70	983	12869
71	995	12831
72	1009	12813
73	1023	12808
74	1035	12776
75	1047	12732
76	1060	12708
77	1073	12684
78	1089	12704
79	1102	12673
80	1114	12648
81	1126	12605
82	1151	12725
83	1173	12798
84	1190	12815
85	1206	12823
86	1219	12794
87	1231	12758
88	1246	12757
89	1258	12723
90	1279	12779
91	1292	12755
92	1304	12718
93	1316	12686
94	1329	12666
95	1340	12626
96	1351	12580
97	1363	12547
98	1376	12527
99	1390	12510
100	1403	12496
101	1416	12474
102	1429	12449
103	1444	12443
104	1457	12424
105	1472	12416
106	1485	12396
107	1499	12387
108	1513	12368
109	1527	12360
110	1541	12342
111	1555	12336
112	1570	12329
113	1583	12307
114	1597	12292
115	1609	12265
116	1621	12239
117	1637	12238
118	1649	12212
119	1663	12195
120	1675	12174
121	1688	12153
122	1701	12128
123	1712	12095
124	1723	12062
125	1735	12038
126	1748	12021
127	1762	12005
128	1773	11977
129	1786	11956
130	1799	11938
131	1811	11913
132	1823	11884
133	1833	11851
134	1844	11820
135	1856	11794
136	1867	11764
137	1879	11742
138	1891	11716
139	1901	11683
140	1914	11660
141	1927	11647
142	1940	11626
143	1951	11600
144	1963	11575
145	1977	11565
146	1988	11541
147	2000	11517
148	2013	11500
149	2025	11479
150	2039	11468
151	2051	11445
152	2064	11426
153	2074	11399
154	2086	11373
155	2096	11345
156	2109	11325
157	2121	11304
158	2132	11281
159	2143	11254
160	2156	11235
161	2170	11225
162	2181	11204
163	2193	11181
164	2204	11154
165	2215	11130
166	2227	11111
167	2239	11089
168	2250	11066
169	2262	11047
170	2274	11027
171	2288	11018
172	2302	11006
173	2312	10979
174	2323	10954
175	2335	10935
176	2346	10910
177	2356	10884
178	2369	10866
179	2380	10842
180	2393	10832
181	2407	10819
182	2419	10802
183	2431	10784
184	2443	10764
185	2455	10747
186	2468	10733
187	2479	10708
188	2490	10684
189	2503	10674
190	2516	10657
191	2529	10644
192	2540	10621
193	2550	10598
194	2562	10579
195	2574	10562
196	2586	10542
197	2599	10528
198	2610	10509
199	2623	10492
200	2637	10483
201	2648	10463
202	2659	10443
203	2670	10421
204	2682	10401
205	2694	10383
206	2706	10368
207	2717	10348
208	2728	10326
209	2739	10306
210	2751	10287
211	2762	10267
212	2774	10250
213	2784	10226
214	2796	10210
215	2809	10196
216	2822	10184
217	2834	10166
218	2844	10144
219	2856	10127
220	2867	10109
221	2880	10094
222	2891	10075
223	2902	10055
224	2914	10039
225	2926	10022
226	2939	10010
227	2950	9991
228	2961	9972
229	2972	9952
230	2986	9940
231	2999	9930
232	3010	9911
233	3022	9893
234	3033	9875
235	3045	9858
236	3058	9845
237	3068	9825
238	3079	9805
239	3089	9784
240	3100	9764
241	3112	9749
242	3124	9732
243	3135	9713
244	3145	9694
245	3157	9676
246	3169	9662
247	3182	9648
248	3192	9629
249	3203	9610
250	3213	9590
251	3224	9572
252	3237	9559
253	3248	9541
254	3259	9522
255	3270	9506
256	3281	9488
257	3294	9475
258	3305	9456
259	3317	9441
260	3328	9423
261	3339	9406
262	3351	9391
263	3363	9377
264	3375	9362
265	3386	9345
266	3398	9329
267	3410	9314
268	3422	9300
269	3433	9281
270	3444	9264
271	3454	9246
272	3467	9234
273	3480	9220
274	3491	9204
275	3501	9185
276	3512	9168
277	3523	9151
278	3535	9136
279	3547	9122
280	3557	9102
281	3568	9086
282	3579	9069
283	3592	9056
284	3603	9041
285	3613	9022
286	3623	9002
287	3635	8988
288	3650	8980
289	3662	8966
290	3673	8951
291	3687	8939
292	3699	8925
293	3711	8913
294	3721	8894
295	3733	8880
296	3744	8864
297	3756	8849
298	3769	8836
299	3780	8822
300	3792	8807
301	3803	8791
302	3817	8782
303	3830	8770
304	3842	8756
305	3852	8737
306	3863	8721
307	3874	8705
308	3886	8690
309	3899	8679
310	3910	8662
311	3921	8647
312	3933	8632
313	3945	8620
314	3957	8606
315	3968	8591
316	3980	8576
317	3992	8561
318	4003	8546
319	4015	8532
320	4026	8517
321	4036	8499
322	4047	8483
323	4059	8469
324	4071	8456
325	4081	8438
326	4092	8423
327	4104	8408
328	4114	8391
329	4124	8374
330	4137	8362
331	4149	8348
332	4159	8331
333	4169	8313
334	4181	8301
335	4194	8288
336	4205	8273
337	4215	8255
338	4225	8239
339	4237	8226
340	4251	8215
341	4261	8199
342	4273	8184
343	4284	8169
344	4295	8154
345	4306	8139
346	4317	8125
347	4328	8109
348	4339	8094
349	4353	8084
350	4366	8074
351	4381	8066
352	4392	8051
353	4402	8033
354	4413	8018
355	4423	8002
356	4436	7989
357	4447	7975
358	4458	7961
359	4471	7948
360	4480	7931
361	4493	7919
362	4504	7904
363	4515	7888
364	4525	7872
365	4536	7858
366	4547	7844
367	4560	7831
368	4571	7818
369	4583	7804
370	4596	7793
371	4609	7781
372	4620	7767
373	4631	7752
374	4642	7737
375	4654	7723
376	4665	7710
377	4677	7697
378	4689	7683
379	4701	7670
380	4713	7658
381	4727	7648
382	4740	7637
383	4752	7623
384	4763	7609
385	4775	7595
386	4787	7583
387	4799	7570
388	4811	7557
389	4821	7541
390	4834	7529
391	4847	7518
392	4859	7505
393	4870	7490
394	4881	7476
395	4893	7463
396	4905	7451
397	4918	7438
398	4928	7423
399	4939	7409
400	4952	7397
401	4965	7387
402	4976	7372
403	4988	7359
404	5001	7348
405	5015	7337
406	5028	7327
407	5040	7314
408	5053	7302
409	5066	7290
410	5077	7276
411	5090	7264
412	5100	7249
413	5111	7234
414	5122	7220
415	5134	7208
416	5145	7194
417	5156	7180
418	5168	7167
419	5181	7154
420	5194	7144
421	5208	7133
422	5221	7122
423	5233	7109
424	5244	7095
425	5255	7081
426	5267	7068
427	5279	7055
428	5291	7043
429	5304	7031
430	5320	7023
431	5330	7008
432	5341	6995
433	5351	6979
434	5362	6965
435	5375	6953
436	5386	6939
437	5398	6926
438	5408	6911
439	5419	6897
440	5431	6884
441	5443	6872
442	5455	6858
443	5467	6846
444	5478	6832
445	5490	6819
446	5502	6807
447	5513	6793
448	5524	6779
449	5537	6767
450	5549	6755
451	5562	6744
452	5574	6731
453	5584	6716
454	5595	6701
455	5605	6687
456	5619	6676
457	5629	6662
458	5641	6649
459	5651	6633
460	5662	6620
461	5673	6606
462	5686	6595
463	5698	6582
464	5708	6568
465	5719	6553
466	5731	6542
467	5744	6530
468	5756	6517
469	5767	6504
470	5778	6490
471	5792	6479
472	5805	6467
473	5816	6454
474	5827	6440
475	5838	6427
476	5850	6414
477	5863	6403
478	5876	6391
479	5888	6378
480	5898	6364
481	5911	6353
482	5925	6342
483	5938	6330
484	5949	6317
485	5960	6303
486	5973	6291
487	5985	6280
488	5997	6267
489	6008	6253
490	6020	6241
491	6032	6228
492	6043	6215
493	6056	6203
494	6069	6191
495	6082	6180
496	6093	6167
497	6105	6154
498	6117	6141
499	6128	6128
500	6139	6115
501	6152	6103
502	6164	6090
503	6177	6079
504	6188	6066
505	6200	6053
506	6214	6042
507	6225	6029
508	6237	6016
509	6247	6002
510	6258	5989
511	6270	5976
512	6281	5963
513	6293	5950
514	6305	5937
515	6316	5925
516	6328	5912
517	6343	5902
518	6355	5890
519	6367	5878
520	6380	5866
521	6392	5854
522	6405	5842
523	6417	5829
524	6430	5818
525	6442	5805
526	6454	5793
527	6466	5780
528	6476	5766
529	6487	5753
530	6499	5740
531	6512	5728
532	6524	5716
533	6535	5703
534	6548	5691
535	6559	5678
536	6572	5666
537	6583	5653
538	6596	5641
539	6607	5628
540	6618	5615
541	6631	5603
542	6643	5591
543	6654	5578
544	6667	5566
545	6679	5554
546	6694	5543
547	6706	5531
548	6716	5517
549	6726	5503
550	6738	5490
551	6751	5479
552	6761	5465
553	6777	5456
554	6790	5444
555	6802	5431
556	6815	5420
557	6826	5407
558	6839	5395
559	6852	5384
560	6866	5373
561	6880	5362
562	6891	5349
563	6902	5336
564	6915	5324
565	6928	5312
566	6941	5300
567	6952	5287
568	6963	5274
569	6974	5261
570	6987	5249
571	6998	5236
572	7009	5223
573	7019	5209
574	7030	5196
575	7043	5184
576	7054	5171
577	7066	5159
578	7080	5148
579	7095	5137
580	7108	5126
581	7122	5115
582	7134	5102
583	7145	5089
584	7156	5076
585	7170	5066
586	7181	5053
587	7192	5039
588	7205	5028
589	7217	5015
590	7231	5004
591	7244	4993
592	7256	4980
593	7267	4967
594	7280	4955
595	7292	4943
596	7304	4930
597	7317	4919
598	7329	4907
599	7342	4895
600	7357	4884
601	7368	4871
602	7382	4860
603	7394	4848
604	7405	4834
605	7417	4822
606	7428	4809
607	7439	4796
608	7450	4783
609	7462	4770
610	7473	4758
611	7487	4746
612	7498	4733
